Topology,Try,Node,Sequence Number,Timestamp,States Count
China Telecom,1,s40,1,1656873416936,1
China Telecom,1,s40,1,1656873419247,52
China Telecom,1,s40,2,1656873469245,53
China Telecom,1,s40,2,1656873471497,103
China Telecom,1,s40,3,1656873514402,104
China Telecom,1,s40,3,1656873516836,153
China Telecom,1,s41,1,1656873417037,1
China Telecom,1,s41,1,1656873419364,70
China Telecom,1,s41,2,1656873469339,71
China Telecom,1,s41,2,1656873471607,138
China Telecom,1,s41,3,1656873514497,139
China Telecom,1,s41,3,1656873516904,206
China Telecom,1,s18,1,1656873417208,1
China Telecom,1,s18,1,1656873419504,42
China Telecom,1,s18,2,1656873469517,43
China Telecom,1,s18,2,1656873471740,84
China Telecom,1,s18,3,1656873514677,85
China Telecom,1,s18,3,1656873517099,126
China Telecom,1,s12,1,1656873417248,1
China Telecom,1,s12,1,1656873419558,46
China Telecom,1,s12,2,1656873469552,47
China Telecom,1,s12,2,1656873471802,92
China Telecom,1,s12,3,1656873514709,93
China Telecom,1,s12,3,1656873517146,138
China Telecom,1,s30,1,1656873417200,1
China Telecom,1,s30,1,1656873419504,42
China Telecom,1,s30,2,1656873469512,43
China Telecom,1,s30,2,1656873471737,84
China Telecom,1,s30,3,1656873514676,85
China Telecom,1,s30,3,1656873517091,126
China Telecom,1,s5,1,1656873417067,1
China Telecom,1,s5,1,1656873419368,46
China Telecom,1,s5,2,1656873469368,47
China Telecom,1,s5,2,1656873471615,92
China Telecom,1,s5,3,1656873514528,93
China Telecom,1,s5,3,1656873516958,138
China Telecom,1,s17,1,1656873417067,1
China Telecom,1,s17,1,1656873419443,49
China Telecom,1,s17,2,1656873469538,50
China Telecom,1,s17,2,1656873471763,92
China Telecom,1,s17,3,1656873514701,93
China Telecom,1,s17,3,1656873517116,135
China Telecom,1,s32,1,1656873417316,1
China Telecom,1,s32,1,1656873419622,46
China Telecom,1,s32,2,1656873469621,47
China Telecom,1,s32,2,1656873471865,92
China Telecom,1,s32,3,1656873514777,93
China Telecom,1,s32,3,1656873517210,138
China Telecom,1,s36,1,1656873416973,1
China Telecom,1,s36,1,1656873419289,52
China Telecom,1,s36,2,1656873469280,53
China Telecom,1,s36,2,1656873471534,103
China Telecom,1,s36,3,1656873514439,104
China Telecom,1,s36,3,1656873516884,153
China Telecom,1,s28,1,1656873417097,1
China Telecom,1,s28,1,1656873419407,46
China Telecom,1,s28,2,1656873469403,47
China Telecom,1,s28,2,1656873471645,92
China Telecom,1,s28,3,1656873514565,93
China Telecom,1,s28,3,1656873516999,138
China Telecom,1,s11,1,1656873417071,1
China Telecom,1,s11,1,1656873419380,52
China Telecom,1,s11,2,1656873469379,53
China Telecom,1,s11,2,1656873471627,103
China Telecom,1,s11,3,1656873514535,104
China Telecom,1,s11,3,1656873516974,153
China Telecom,1,s42,1,1656873417168,1
China Telecom,1,s42,1,1656873419315,45
China Telecom,1,s42,2,1656873469473,46
China Telecom,1,s42,2,1656873471554,89
China Telecom,1,s42,3,1656873514629,90
China Telecom,1,s42,3,1656873516871,133
China Telecom,1,s13,1,1656873417253,1
