Topology,Try,Node,Sequence Number,Timestamp,States Count
ChinaTelecom,1,s40,1,1661702006906,2
ChinaTelecom,1,s40,1,1661702009555,42
ChinaTelecom,1,s40,2,1661702034974,42
ChinaTelecom,1,s40,3,1661702046317,42
ChinaTelecom,1,s40,4,1661702057959,42
ChinaTelecom,1,s41,1,1661702007052,2
ChinaTelecom,1,s41,1,1661702009720,42
ChinaTelecom,1,s41,2,1661702034727,42
ChinaTelecom,1,s41,3,1661702046312,42
ChinaTelecom,1,s41,4,1661702057736,42
ChinaTelecom,1,s18,1,1661702007222,2
ChinaTelecom,1,s18,1,1661702009723,42
ChinaTelecom,1,s18,2,1661702034003,42
ChinaTelecom,1,s18,3,1661702045482,42
ChinaTelecom,1,s18,4,1661702056906,42
ChinaTelecom,1,s12,1,1661702007246,1
ChinaTelecom,1,s12,1,1661702010707,42
ChinaTelecom,1,s12,2,1661702033844,42
ChinaTelecom,1,s12,3,1661702045302,42
ChinaTelecom,1,s12,4,1661702056743,42
ChinaTelecom,1,s30,1,1661702007217,2
ChinaTelecom,1,s30,1,1661702009742,42
ChinaTelecom,1,s30,2,1661702034396,42
ChinaTelecom,1,s30,3,1661702045822,42
ChinaTelecom,1,s30,4,1661702057348,42
ChinaTelecom,1,s5,1,1661702006962,1
ChinaTelecom,1,s5,1,1661702010874,42
ChinaTelecom,1,s5,2,1661702033589,42
ChinaTelecom,1,s5,3,1661702045046,42
ChinaTelecom,1,s5,4,1661702056546,42
ChinaTelecom,1,s17,1,1661702006894,2
ChinaTelecom,1,s17,1,1661702009501,42
ChinaTelecom,1,s17,2,1661702034004,42
ChinaTelecom,1,s17,3,1661702045420,42
ChinaTelecom,1,s17,4,1661702056914,42
ChinaTelecom,1,s17,4,1661702057960,45
ChinaTelecom,1,s32,1,1661702007256,2
ChinaTelecom,1,s32,1,1661702010710,42
ChinaTelecom,1,s32,2,1661702034479,42
ChinaTelecom,1,s32,3,1661702046100,42
ChinaTelecom,1,s32,4,1661702057486,42
ChinaTelecom,1,s36,1,1661702007083,2
ChinaTelecom,1,s36,1,1661702009728,42
ChinaTelecom,1,s36,2,1661702034533,42
ChinaTelecom,1,s36,3,1661702046163,42
ChinaTelecom,1,s36,4,1661702057572,42
ChinaTelecom,1,s28,1,1661702007054,2
ChinaTelecom,1,s28,1,1661702009516,43
ChinaTelecom,1,s28,2,1661702034421,43
ChinaTelecom,1,s28,3,1661702045976,43
ChinaTelecom,1,s28,4,1661702057384,43
ChinaTelecom,1,s28,4,1661702058057,46
ChinaTelecom,1,s11,1,1661702007069,2
ChinaTelecom,1,s11,1,1661702010450,42
ChinaTelecom,1,s11,2,1661702033772,42
ChinaTelecom,1,s11,3,1661702045202,42
ChinaTelecom,1,s11,4,1661702056690,42
ChinaTelecom,1,s42,1,1661702007059,2
ChinaTelecom,1,s42,1,1661702009728,42
ChinaTelecom,1,s42,2,1661702034750,42
ChinaTelecom,1,s42,3,1661702046226,42
ChinaTelecom,1,s42,4,1661702057756,42
ChinaTelecom,1,s13,1,1661702007223,2
ChinaTelecom,1,s13,1,1661702009725,42
ChinaTelecom,1,s13,2,1661702033858,42
ChinaTelecom,1,s13,3,1661702045349,42
ChinaTelecom,1,s13,4,1661702056766,42
ChinaTelecom,1,s16,1,1661702007080,2
ChinaTelecom,1,s16,1,1661702009639,50
ChinaTelecom,1,s16,2,1661702033933,50
ChinaTelecom,1,s16,3,1661702045369,50
ChinaTelecom,1,s16,4,1661702056798,50
ChinaTelecom,1,s16,4,1661702058372,53
ChinaTelecom,1,s37,1,1661702007080,2
ChinaTelecom,1,s37,1,1661702009722,42
ChinaTelecom,1,s37,2,1661702034579,42
ChinaTelecom,1,s37,3,1661702046232,42
ChinaTelecom,1,s37,4,1661702057540,42
ChinaTelecom,1,s34,1,1661702007019,2
ChinaTelecom,1,s34,1,1661702009724,42
ChinaTelecom,1,s34,2,1661702034500,42
ChinaTelecom,1,s34,3,1661702046028,42
ChinaTelecom,1,s34,4,1661702057519,42
ChinaTelecom,1,s8,1,1661702007066,2
ChinaTelecom,1,s8,1,1661702010278,42
ChinaTelecom,1,s8,2,1661702033734,42
ChinaTelecom,1,s8,3,1661702045174,42
ChinaTelecom,1,s8,4,1661702056661,42
ChinaTelecom,1,s14,1,1661702007239,2
ChinaTelecom,1,s14,1,1661702009679,42
ChinaTelecom,1,s14,2,1661702033880,42
ChinaTelecom,1,s14,3,1661702045348,42
ChinaTelecom,1,s14,4,1661702056804,42
ChinaTelecom,1,s14,4,1661702058361,47
ChinaTelecom,1,s39,1,1661702007085,2
ChinaTelecom,1,s39,1,1661702009513,43
ChinaTelecom,1,s39,2,1661702034702,43
ChinaTelecom,1,s39,3,1661702046196,43
ChinaTelecom,1,s39,4,1661702057843,43
ChinaTelecom,1,s38,1,1661702007219,2
ChinaTelecom,1,s38,1,1661702009645,42
ChinaTelecom,1,s38,2,1661702034656,42
ChinaTelecom,1,s38,3,1661702046103,42
ChinaTelecom,1,s38,4,1661702057678,42
ChinaTelecom,2,s24,1,1661703192396,2
ChinaTelecom,2,s24,1,1661703195109,42
ChinaTelecom,2,s24,2,1661703219587,42
ChinaTelecom,2,s24,3,1661703230764,42
ChinaTelecom,2,s24,4,1661703241972,42
ChinaTelecom,2,s22,1,1661703192544,2
ChinaTelecom,2,s22,1,1661703195319,42
ChinaTelecom,2,s22,2,1661703219465,42
ChinaTelecom,2,s22,3,1661703230613,42
ChinaTelecom,2,s22,4,1661703241827,42
ChinaTelecom,2,s26,1,1661703192382,2
ChinaTelecom,2,s26,1,1661703195110,42
ChinaTelecom,2,s26,2,1661703219595,42
ChinaTelecom,2,s26,3,1661703230845,42
ChinaTelecom,2,s26,4,1661703242058,42
ChinaTelecom,2,s23,1,1661703192539,2
ChinaTelecom,2,s23,1,1661703195266,43
ChinaTelecom,2,s23,2,1661703219515,43
ChinaTelecom,2,s23,3,1661703230642,43
ChinaTelecom,2,s23,4,1661703241962,43
ChinaTelecom,2,s20,1,1661703192392,2
ChinaTelecom,2,s20,1,1661703195242,42
ChinaTelecom,2,s20,2,1661703219366,42
ChinaTelecom,2,s20,3,1661703230588,42
ChinaTelecom,2,s20,4,1661703241803,42
ChinaTelecom,2,s2,1,1661703192093,1
ChinaTelecom,2,s2,1,1661703195870,42
ChinaTelecom,2,s2,2,1661703218786,42
ChinaTelecom,2,s2,3,1661703230122,42
ChinaTelecom,2,s2,4,1661703241125,42
ChinaTelecom,2,s2,4,1661703243789,62
ChinaTelecom,2,s4,1,1661703192226,2
ChinaTelecom,2,s4,1,1661703196185,42
ChinaTelecom,2,s4,2,1661703218797,42
ChinaTelecom,2,s4,3,1661703230129,42
ChinaTelecom,2,s4,4,1661703241224,42
ChinaTelecom,2,s3,1,1661703192140,1
ChinaTelecom,2,s3,1,1661703195809,42
ChinaTelecom,2,s3,2,1661703218791,42
ChinaTelecom,2,s3,3,1661703230127,42
ChinaTelecom,2,s3,4,1661703241177,42
ChinaTelecom,2,s31,1,1661703192522,2
ChinaTelecom,2,s31,1,1661703195260,42
ChinaTelecom,2,s31,2,1661703219680,42
ChinaTelecom,2,s31,3,1661703230830,42
ChinaTelecom,2,s31,4,1661703242131,42
ChinaTelecom,2,s33,1,1661703192393,2
ChinaTelecom,2,s33,1,1661703195250,42
ChinaTelecom,2,s33,2,1661703219736,42
ChinaTelecom,2,s33,3,1661703230938,42
ChinaTelecom,2,s33,4,1661703242216,42
